Symbol,Name,Industry,Combined Score,Sales Growth (1 Year),P/E,P/E Relative to Industry,Price/Book,Price/Book Relative to Industry,Price/Sales,Price/Sales Relative to Industry
HFC,HollyFrontier Corporation,Oil,6.8,-1.3,11,0.8,1.4,0.9,0.5,1.2
IDXX,"IDEXX Laboratories, Inc.",Others,6.8,8.8,53.4,1.2,126,10.3,9.5,1.5
KMI,Kinder Morgan Inc Class P,Oil,6.8,-7.8,22,0.8,1.4,0.5,3.6,1.1
LNT,Alliant Energy Corp,Utilities,6.8,3.2,23.4,1,2.6,1,3.6,1.3
LW,"Lamb Weston Holdings, Inc.",F&B,6.8,1,24.1,1,36.5,2.3,2.3,0.8
MA,Mastercard Incorporated Class A,Financials,6.8,12.9,37.6,1.9,51,3,18.1,2.2
MKC,"McCormick & Company, Incorporated",F&B,6.8,0.8,32.3,1.3,6.5,0.4,4.2,1.4
PXD,Pioneer Natural Resources Company,Oil,6.8,3.1,33.6,1.1,2.1,1.2,2.6,1
ROL,"Rollins, Inc.",Service,6.8,10.6,53.4,1.8,13.3,1.3,5.4,1.4
UAA,"Under Armour, Inc. Class A",Others,6.8,1.1,106.5,2,4.5,0.7,1.9,1
VZ,Verizon Communications Inc.,Others,6.8,0.8,13.2,0.8,4.1,1.5,1.9,1.1
WM,"Waste Management, Inc.",Service,6.8,3.6,29.2,1,6.8,1.3,3.2,1.1
ZBRA,Zebra Technologies Corporation Class A,Tech,6.8,5.7,25.6,1.7,7.5,0.7,3.1,2
DOW,"Dow, Inc.",Chemicals,6.8,-13.4,#N/A,#N/A,3,0.8,0.9,0.3
HLT,Hilton Worldwide Holdings Inc,Others,6.8,6.5,36.5,1.6,#N/A,#N/A,3.4,1.4
MO,Altria Group Inc,Others,6.8,0.9,#N/A,#N/A,14.9,1,4.7,1
SBAC,SBA Communications Corp. Class A,Financials,6.8,8,188,3.2,#N/A,#N/A,13.7,1.4
BBY,"Best Buy Co., Inc.",Others,6.6,1.8,14.7,1,6.2,1,0.5,1
CB,Chubb Limited,Others,6.6,4.5,16,1.2,1.3,0.8,2.1,1.4
CL,Colgate-Palmolive Company,Others,6.6,1,25,0.7,502.9,5.3,3.8,1
EOG,"EOG Resources, Inc.",Oil,6.6,-1.1,17.8,0.6,2.3,1.3,2.8,1.1
FRC,First Republic Bank,Financials,6.6,16.2,22.6,1.7,2.3,1.4,4.8,1.6
HWM,Howmet Aerospace Inc.,Others,6.6,1.2,29.9,1,2.9,1,1,1
PPL,PPL Corporation,Utilities,6.6,-0.2,15.1,0.6,2.1,0.8,3.4,1.2
SNA,Snap-on Incorporated,Others,6.6,-0.1,13.6,0.7,2.7,0.9,2.3,1.1
SWK,"Stanley Black & Decker, Inc.",Others,6.6,3.3,26.1,1.3,3.3,1.1,1.7,0.9
UA,"Under Armour, Inc. Class C",Others,6.6,1.1,94.6,1.8,4,0.6,1.7,0.9
XYL,Xylem Inc.,Others,6.6,0.9,35.6,1.2,4.8,0.7,2.7,0.9
HES,Hess Corporation,Oil,6.5,5.8,#N/A,#N/A,2.3,1.3,3.1,1.2
MSI,"Motorola Solutions, Inc.",Others,6.5,7.4,32.6,1.3,#N/A,#N/A,3.6,1.5
ADI,"Analog Devices, Inc.",Others,6.4,-3.8,30,0.8,3.4,0.5,6.8,1.1
BAC,Bank of America Corp,Financials,6.4,3.6,12.8,1,1.3,1,2.9,1.1
BKNG,Booking Holdings Inc.,Service,6.4,3.7,18.4,0.6,14.3,1.4,5.9,1.5
CCI,Crown Castle International Corp,Financials,6.4,7.5,79.5,1.3,5.6,1.3,10.4,1.1
DXCM,"DexCom, Inc.",Others,6.4,43.1,199.7,4.5,22.7,1.9,13.7,2.1
EIX,Edison International,Utilities,6.4,-2.4,20,0.9,2.1,0.8,2.1,0.8
ETR,Entergy Corporation,Utilities,6.4,-2.7,19,0.8,2.3,0.9,2.2,0.8
JKHY,"Jack Henry & Associates, Inc.",Tech,6.4,9.3,47.7,1.4,9.1,1,8.3,1.9
MKTX,MarketAxess Holdings Inc.,Financials,6.4,17.4,70.2,2.9,18.7,4.7,28.1,4.1
MTD,Mettler-Toledo International Inc.,Others,6.4,2.5,35.3,0.8,45.5,3.7,6.6,1
NFLX,"Netflix, Inc.",Others,6.4,27.6,78.3,2.4,18.7,3.8,7.3,2.5
NOW,"ServiceNow, Inc.",Tech,6.4,32.6,88.8,2.6,25.1,2.8,16.1,3.6
PKG,Packaging Corporation of America,Others,6.4,-0.7,15.2,0.6,3.5,0.8,1.5,1.2
TROW,T. Rowe Price Group,Financials,6.4,4.6,14,0.7,4,1.8,5.2,1.4
LB,"L Brands, Inc.",Others,6.3,-2.4,#N/A,#N/A,#N/A,#N/A,0.5,0.4
SEE,Sealed Air Corporation,Others,6.3,1.2,21.1,0.9,#N/A,#N/A,1.3,1
WY,Weyerhaeuser Company,Financials,6.3,-12.3,#N/A,#N/A,2.8,0.6,3.4,0.4
ICE,"Intercontinental Exchange, Inc.",Financials,6.2,4.2,27.1,1.1,3,0.7,8.5,1.2
JCI,Johnson Controls International plc,Others,6.2,2.4,80.9,1,1.7,1,1.6,1
JNJ,Johnson & Johnson,Others,6.2,0.7,25.9,1.1,6.5,0.5,4.8,1
KSU,Kansas City Southern,Others,6.2,4.2,28.4,1.3,3.3,0.7,5.3,1
MRO,Marathon Oil Corporation,Oil,6.2,-14.2,22.9,0.8,0.9,0.5,2.2,0.8
NDAQ,"Nasdaq, Inc.",Financials,6.2,-3,23.1,1,3.1,0.8,4.2,0.6
NSC,Norfolk Southern Corporation,Others,6.2,-1.4,18.9,0.9,3.3,0.7,4.6,0.9
SPG,"Simon Property Group, Inc.",Financials,6.2,0.4,22,0.4,18.4,4.2,8.1,0.8
STT,State Street Corporation,Financials,6.2,0.8,14.7,1.1,1.3,0.8,2.4,0.8
TYL,"Tyler Technologies, Inc.",Tech,6.2,16.2,82.1,1.1,7.3,1.4,11.1,1.6
UHS,"Universal Health Services, Inc. Class B",Others,6.2,5.6,15.7,1,2.3,1,1.1,1.1
VRTX,Vertex Pharmaceuticals Incorporated,Tech,6.2,35.5,48.5,1.8,9.3,1.3,13.8,1.8
AIV,Apartment Investment & Management Co Class A,Financials,6,-5.8,16.4,0.3,4.3,1,8.4,0.9
ALK,"Alaska Air Group, Inc.",Air,6,6.3,11,1.2,1.9,0.8,1,1.2
BLK,"BlackRock, Inc.",Financials,6,4.8,17.7,0.8,2.3,1.1,5.3,1.5
CHRW,"C.H. Robinson Worldwide, Inc.",Air,6,-7.9,18.7,0.8,6.3,0.6,0.7,0.7
CMI,Cummins Inc.,Others,6,-0.8,12.4,0.6,3.6,1,1.2,0.9
CPB,Campbell Soup Company,F&B,6,7.2,25.6,1.2,5.8,1.4,1.7,0.9
CTAS,Cintas Corporation,Service,6,2.8,30.6,1,7.9,0.8,3.7,1
CTVA,Corteva Inc,Chemicals,6,-3.1,#N/A,#N/A,0.9,0.3,1.6,0.8
DE,Deere & Company,Others,6,5.1,17.4,0.9,4.8,1.3,1.4,1
DRI,"Darden Restaurants, Inc.",Others,6,-8.3,#N/A,#N/A,4.3,0.5,1.2,0.3
FLIR,"FLIR Systems, Inc.",Others,6,6.3,41.5,1.6,3.7,0.5,3.8,1.5
FTNT,"Fortinet, Inc.",Tech,6,19.7,57.2,1.8,13.9,1.7,8.7,1.3
GWW,"W.W. Grainger, Inc.",Others,6,2.4,21.9,0.9,9.8,1.3,1.6,0.8
LEG,"Leggett & Platt, Incorporated",Others,6,11.4,20.6,1.2,5.1,1.6,1.4,1.2
LOW,"Lowe's Companies, Inc.",Others,6,1.2,21.2,1,45,1,1.3,0.7
LYB,LyondellBasell Industries NV,Chemicals,6,-10.9,9.9,0.4,3.9,1.1,1,0.3
MAS,Masco Corporation,Others,6,0.8,21.9,0.9,#N/A,#N/A,2.1,0.8
MOS,Mosaic Company,Chemicals,6,-7.1,#N/A,#N/A,0.9,0.3,0.9,0.5
NI,NiSource Inc,Others,6,1.8,31.9,1.2,2.1,0.9,2,0.6
NWL,Newell Brands Inc,Others,6,-4.3,82.1,2.2,1.6,0.3,0.8,0.4
PHM,"PulteGroup, Inc.",Others,6,0.2,10.6,0.8,1.9,0.7,1,0.8
PNC,"PNC Financial Services Group, Inc.",Financials,6,10.2,14,1.2,1.5,1.1,3.3,1.2
REG,Regency Centers Corporation,Financials,6,-3,44.2,0.7,1.7,0.4,9.7,1
ROP,"Roper Technologies, Inc.",Others,6,3.4,21.1,0.7,3.9,0.9,6.9,1.4
TEL,TE Connectivity Ltd.,Others,6,-3.9,16.3,0.7,2.9,0.7,2.3,0.8
TPR,"Tapestry, Inc.",Others,6,-17.7,#N/A,#N/A,1.5,0.3,0.7,0.6
TRV,"Travelers Companies, Inc.",Others,6,4.4,13.8,1,1.3,1.1,1.1,0.9
VFC,V.F. Corporation,Others,6,2.4,34,0.6,6.7,1,2.2,1.2
WAT,Waters Corporation,Others,6,-0.6,26.9,0.6,#N/A,#N/A,6.6,1
AVB,"AvalonBay Communities, Inc.",Financials,5.8,1.7,37.2,0.6,2.7,0.6,12.6,1.3
AWK,"American Water Works Company, Inc.",Utilities,5.8,4.9,35.8,1,3.6,1,6.2,1
BEN,"Franklin Resources, Inc.",Financials,5.8,-8.3,12.3,0.6,1.5,0.7,2.5,0.7
CMG,"Chipotle Mexican Grill, Inc.",Others,5.8,14.8,67.6,1.9,13.8,1.5,4.2,1
CSCO,"Cisco Systems, Inc.",Tech,5.8,-5,17.6,0.5,5.2,0.6,4,0.9
DOV,Dover Corporation,Others,5.8,2.1,25,0.9,5.5,0.8,2.4,0.8
ED,"Consolidated Edison, Inc.",Utilities,5.8,1.8,22.2,0.9,1.7,0.7,2.4,0.9
EQIX,"Equinix, Inc.",Financials,5.8,8.5,97.4,1.7,5.6,1.3,9,0.9
GIS,"General Mills, Inc.",F&B,5.8,4.5,17.7,0.8,4.8,1.1,2.2,1.1
GLW,Corning Inc,Others,5.8,1.9,27.3,1.1,2.1,0.5,2.3,0.8
