Date_Forecast,JNJ,GS,RIO,AAPL,JPM,BHP,DIS,XOM,CVX,AMZN,BA,MSFT,NEE,NVDA,CAT,MCD,NVS
2008-08-15,0.026132751,0.05976255,0.061060507,0.052535936,0.04262226,0.05739383,0.027811977999999998,0.07215526,0.045207605,0.051861934000000005,0.041924473,0.05515941,0.034376774,0.07227094,0.042627345999999997,0.03254293,0.0777087
2008-08-22,0.02267321,0.05452405,0.06305617,0.05835929,0.047362685,0.04882774,0.03446641,0.03355269,0.027011337000000003,0.056778826,0.05790643,0.034054738,0.039559428,0.06444473,0.034730453,0.037479304,0.05527732
2008-08-29,0.024877608,0.035399966,0.06442632,0.048489622999999996,0.053064562,0.049649715,0.031094385,0.043605153,0.027166111,0.06937781,0.03841228,0.041192893,0.05296144,0.06852245,0.041523445,0.038475707000000005,0.045262158
2008-09-05,0.03110183,0.06307218,0.11870612,0.046429053,0.05919044,0.056527037,0.036400292,0.035527172999999995,0.044803437,0.051048223,0.039877217,0.06078255,0.037022036,0.06544763599999999,0.045469347,0.04960685,0.046169985
2008-09-12,0.03609302,0.07511491,0.083241984,0.045741584,0.05211881,0.05505595,0.031119464,0.028876897000000002,0.035945803,0.047655273,0.05670431,0.04114198,0.03438383,0.10761294,0.05198321,0.030828462999999997,0.032186937
2008-09-19,0.03748364,0.07187126,0.06709296,0.03815494,0.0530756,0.052668232,0.031640116,0.053194787,0.03063246,0.03267679,0.02943376,0.049841512000000004,0.03740785,0.17821132,0.042717088,0.051521502000000004,0.043252967
2008-09-26,0.020481663,0.07004305,0.06704178,0.048750773,0.060328327,0.057888202,0.06296258,0.06515923,0.035587747,0.06096186,0.039005857000000005,0.071649745,0.038504699999999996,0.07028166,0.047021672,0.03179838,0.043156485999999994
2008-10-03,0.02263996,0.057611205,0.06865742,0.12118773,0.058627202999999996,0.05637386,0.032752573,0.03190359,0.028600235,0.10314132,0.04455520599999999,0.048291113,0.05991609,0.07699272,0.05020813,0.034320716,0.048518013
2008-10-10,0.034512232999999996,0.089364655,0.06857961,0.054171484000000006,0.05406735,0.05530251,0.11900721,0.034646906,0.03710135,0.053120222,0.050370465999999996,0.12164647,0.14702435,0.20033407,0.047199603,0.045209542,0.04990219
2008-10-17,0.055276415999999995,0.063640535,0.07144235,0.06317242,0.05588804,0.058655362999999995,0.15528725,0.043319743,0.037565306,0.05877541,0.052991632000000004,0.13619907,0.04874343,0.21485637,0.05917114,0.03831222,0.16432236
2008-10-24,0.025194312000000003,0.18142167,0.16678527,0.05245269,0.08028836,0.06223556,0.043230295,0.03849037,0.03785968,0.054601897,0.12490539,0.076547086,0.10700538,0.21157135,0.04758276,0.06339757,0.034425213999999996
2008-10-31,0.04393369,0.0727595,0.17852935,0.054083694,0.08802297,0.063081615,0.053888127,0.03652448,0.03924956,0.0681843,0.05074218,0.057321872999999995,0.056553643,0.19404970000000002,0.056996875,0.051212322000000005,0.055706292000000004
2008-11-07,0.03097103,0.11188591,0.21453439,0.054672923,0.07304926,0.069384865,0.12573512,0.040823944,0.09210134,0.05875253,0.087776616,0.048487999999999996,0.048690505,0.20112596,0.063817546,0.048831812999999995,0.028545426000000002
2008-11-14,0.035236042,0.070468396,0.07654226,0.055842395999999996,0.06384716,0.20963673,0.064605735,0.04396246,0.0532425,0.1495203,0.050457414000000006,0.06299947,0.046074722,0.18961285,0.050901957000000005,0.052894500000000004,0.03639417
2008-11-21,0.038861495,0.36621547,0.14346261,0.06421133,0.07717124,0.20892207,0.056503914,0.049334135,0.090095274,0.066585965,0.080816686,0.047106302999999995,0.07707554,0.1625317,0.095978186,0.038897182999999995,0.048686545
2008-11-28,0.044503864000000004,0.26669377,0.08764285599999999,0.05581315,0.2980653,0.20594753,0.04737380000000001,0.029386535,0.07682457599999999,0.0662297,0.051631335,0.03564109,0.05853541599999999,0.14560533,0.05536609,0.045370422,0.03998939
2008-12-05,0.02971665,0.24590598,0.27013344,0.066461064,0.118949994,0.19040865,0.036385912,0.033397976,0.08121536,0.058153242,0.056934535999999994,0.053938072000000004,0.04448038,0.109553106,0.06209594400000001,0.04425128,0.048558507
2008-12-12,0.028120032000000003,0.18643816,0.30999887,0.08464693,0.07539746,0.14587517,0.034281906,0.05181245,0.074718334,0.06364656,0.04775775,0.044590313,0.047403835,0.10226114,0.0788415,0.0487325,0.05321412
2008-12-19,0.029785307,0.22291873,0.18877633,0.057236493,0.056616787,0.048028365,0.051942326,0.04108079,0.07932862,0.060561877,0.055470865,0.043703955,0.041774776,0.14826281,0.05920368,0.050261427000000004,0.04987587
2008-12-26,0.032357365,0.094733514,0.18146732,0.059126385,0.04894106,0.09203147,0.054639745999999996,0.05343930400000001,0.09995164,0.059833903,0.07099167,0.049600205999999994,0.03994665,0.15404522,0.05517492400000001,0.03826831,0.039914604
2009-01-02,0.024493465,0.08951255,0.22493406,0.05900677,0.08307139999999999,0.062131595,0.05066365,0.040283232999999995,0.062094867000000005,0.058757525,0.08119099,0.047206353,0.042598207,0.12592687,0.06369228,0.0387725,0.03673422
2009-01-09,0.034071855,0.18902096,0.105748355,0.05986000599999999,0.10203688,0.07426912,0.056552827,0.044358086,0.04818803,0.035981327,0.05888744,0.05707178,0.043219592,0.13127401,0.07353354,0.050938144000000005,0.039433468
2009-01-16,0.024060112999999998,0.099244654,0.13603474,0.057069972000000004,0.1286161,0.07988388,0.05161186,0.042874195,0.048753895,0.058291305,0.054222415999999996,0.045739785,0.05352893,0.12051659,0.055960345999999994,0.036320634,0.04570669
2009-01-23,0.04044904,0.10956346,0.11168073,0.0662173,0.08276288,0.07646542,0.04602902,0.043088815999999995,0.05398504,0.06302371,0.061958495999999995,0.046025965,0.053370747999999996,0.10696019,0.05625922,0.04506846,0.04734240000000001
2009-01-30,0.025273615,0.10078771,0.121809766,0.06332769999999999,0.07960919,0.09361523,0.03606319,0.03820363,0.05854864,0.060610004,0.06352257,0.046420842000000004,0.049584195,0.1284224,0.057967603,0.037665874,0.043997124000000006
2009-02-06,0.030392911,0.10544921,0.15972944,0.058735814000000004,0.0830559,0.11043611,0.044921987000000003,0.047059095999999995,0.04596004,0.06277300400000001,0.05547225,0.054036256,0.047399923,0.14721579999999998,0.072114535,0.038562868,0.04067053
2009-02-13,0.05311269999999999,0.10867941,0.09948636599999999,0.070927024,0.13813272,0.11118398,0.06458168,0.039650622999999996,0.06666264,0.06386139,0.054811355,0.09374243,0.047162199999999994,0.0976081,0.057945788,0.06466155,0.039434962000000004
2009-02-20,0.026341063999999997,0.09396686,0.16903834,0.07158966,0.15255512,0.08048966,0.06449740400000001,0.044551864000000004,0.05479062,0.052947547000000005,0.06344827,0.05127263,0.04465108,0.14325799,0.07505621,0.035600808,0.038927406
2009-02-27,0.036970932000000005,0.12589426,0.06843867,0.07087328,0.46106714,0.10588073,0.06254694,0.043989482999999996,0.050299055999999995,0.06308354,0.05878111,0.053842627000000004,0.037218798,0.15646495,0.08364121599999999,0.03646063,0.051257927
2009-03-06,0.03296234,0.15325008,0.09034348,0.08026477,0.34925345,0.08055019999999999,0.046689935,0.04002291,0.044202525,0.06650026,0.05699914,0.06608412,0.0644184,0.117938645,0.06320251,0.0414934,0.042450264
2009-03-13,0.040301245,0.11084300000000001,0.09135959,0.06030461,0.18100487,0.07794574,0.04840354,0.042055845,0.04680131,0.043160517,0.100614935,0.052583903,0.050157018,0.11877688,0.06841536,0.03422741,0.044297248
2009-03-20,0.034585677,0.15495433,0.093351685,0.059786197,0.23811612,0.06907288,0.053474075999999995,0.051872537,0.04924922,0.068243705,0.05835575,0.052852582,0.052353962999999996,0.10896310000000001,0.06425188,0.036674157,0.041272655
2009-03-27,0.042846613,0.11059781,0.10046624400000001,0.06722551,0.08965554,0.06959951,0.046500847000000005,0.042901999999999996,0.049233817,0.072089,0.08154861,0.05833044,0.048974786,0.11643076,0.06269722,0.036124628,0.04289764
2009-04-03,0.027937626,0.12451298,0.09156921,0.07416817,0.098936684,0.07969197,0.04779551,0.054062128,0.040075075,0.06444035,0.086126514,0.050591428,0.036825385,0.08771631,0.07179767,0.044567737999999996,0.04139132
2009-04-10,0.04707991,0.1309484,0.10278408,0.05859404,0.14519021,0.08021684,0.043910533,0.044515543,0.041016757,0.06492771,0.06037491,0.041305225,0.04694439,0.096117936,0.08248833,0.03752674,0.04188386
2009-04-17,0.030530047,0.082832925,0.08511685,0.05794273,0.10059573,0.06421681,0.045050415999999996,0.06469786,0.06281283,0.07020518,0.057956006,0.049899925,0.054126743,0.06286941,0.06042715,0.063408665,0.04402434
2009-04-24,0.057273377,0.06751329,0.071199425,0.05796873,0.07833836,0.06335949,0.05081253,0.037987325,0.0375925,0.06535827,0.04006608,0.05082744,0.06504631,0.11167756,0.07305328,0.039293423,0.038380306
